@@Main,,,,,,,,,
ReportingNode,Year,Month,,,,,,,
CH,2020,12,,,,,,,
,,,,,,,,,
@@SingleDataNodeParameter,,,,,,,,,
DataNode,PremiumAllocation,CashFlowPeriodicity,InterpolationMethod,EconomicBasisDriver,ReleasePattern0,ReleasePattern1,ReleasePattern2,ReleasePattern3,ReleasePattern4
GicComplex,0.8,Monthly,,,,,,,
DT1.1,0.8,Monthly,,,,,,,
DT1.2,0.8,Monthly,,,,,,,
DT1.3,1,Monthly,,,,,,,
DT1.4,0.8,Monthly,,,,,,,
DT1.5,0.8,Monthly,,,,,,,
DT2.1,0.8,Monthly,,,,,,,
DT2.2,0.8,Monthly,,,,,,,
DT3.1,0.8,Monthly,,,,,,,
DT4.1,0.8,Monthly,,,,,,,
DT10.1,0,Yearly,Uniform,,,,,,
DT10.2,0,Yearly,Uniform,N,1.41,1.14,0.87,0.58,
,,,,,,,,,
@@InterDataNodeParameter,,,,,,,,,
DataNode,LinkedDataNode,ReinsuranceCoverage,,,,,,,
DT1.1,DTR1.1,0.5,,,,,,,
DT1.2,DTR1.2,0.5,,,,,,,
DT1.4,DTR1.3,0.5,,,,,,,
DT1.5,DTR1.4,0.5,,,,,,,
DT2.1,DTR2.1,0.5,,,,,,,
DT2.2,DTR2.2,0.5,,,,,,,
GricComplex,GicComplex,0.5,,,,,,,
