@@YieldCurve,,,,,,
Currency,Year,Month,Values0,Values1,Values2,Values3
EUR,2020,3,0.008685495,0.008685495,0.018498471,0.019966839
CHF,2019,12,0,0,0.015,0.02
CHF,2020,12,0.01,0.02,0.025,0.025
CHF,2021,6,0.03,0.03,0.035,0.035
CHF,2021,12,0.025,0.025,0.035,0.035
USD,2021,3,0.005,0.005,0.005,0.005
USD,2020,12,0.002,0.002,0.002,0.002
USD,2020,3,0.002,0.002,0.002,0.002
USD,2020,1,0.002,0.002,0.002,0.002
GBP,2020,3,0.01,0.015,0.02,0.02
GBP,2021,3,0.015,0.02,0.02,0.025
XTSHY,2019,12,0.85,0.85,0.85,0.85
