@@Main,,,,,
ReportingNode,Year,Month,Scenario ,,
FR,2020,12,,,
@@Actual,,,,,
DataNode,AocType,AmountType,EstimateType,AccidentYear,Value
EY52BBA.1,CF,PR,A,,2000
EY52BBA.1,CF,NIC,A,,-900
EY57G.1,CF,PR,A,,1000
EY57G.1,CF,NIC,A,,-900
EY57R.1,CF,PR,A,,-300
EY57R.1,CF,NIC,A,,270
EY58G.1,CF,PR,A,,900
EY58G.1,CF,NIC,A,,-600
EY58G.2,CF,PR,A,,210
EY58G.2,CF,NIC,A,,-300
EY58R.1,CF,PR,A,,-315
EY58R.1,CF,NIC,A,,270
EY59G.1,CF,NIC,A,,-175
EY59G.2,CF,NIC,A,,-230
EY59R.1,CF,NIC,A,,52.5
EY59R.2,CF,NIC,A,,69
EY63G.1,CF,NIC,A,,15
EY63R.1,CF,PR,A,,-55
EY63R.1,CF,NIC,A,,28.75
